id,channelId,title,thumbUrl,description,publishDate,viewCount,comments,likes,dislikes,responseCode
UgxjdDB_-NNx413BaXx4AaABAg,,oMsLffZuMe8,UC-M_eIWkydELmrhJii1yN8w,@marinazabala2302,https://yt3.ggpht.com/ytc/AIdro_m8LzmUI6fsRYvmfDYoEfbb7c5XyJMLMMyR7EIZ7oI=s48-c-k-c0x00ffffff-no-rj,2022-10-09T22:07:21,Cuánta tristeza en el mundo y la lucha por la lucha por la supervivencia .,18,false,5,
UgyjDYQd5_me5YELQcB4AaABAg.9gzNjGRirmc9h0-k5RghBW,UgyjDYQd5_me5YELQcB4AaABAg,oMsLffZuMe8,UCRLRRqCbub34je8q-877d2A,@Omar-wt2lg,https://yt3.ggpht.com/ytc/AIdro_nlMW2g2vaj9BmyJqTtszEMaIchTWg3L3dfzkjfju8=s48-c-k-c0x00ffffff-no-rj,2022-10-10T11:56:59,A nadie le interesa lo que has logrado o no. Aquí el problema es la migración descontrolada de venezolanos que van en caravanas y exigen en otros países lo que no hicieron en el suyo.,18,true,,
UgwWfl8Y4KX-2VSIEHp4AaABAg,,oMsLffZuMe8,UCSxBGp6Bi8lhpgpvqKz7bsA,@aaronsalomon9412,https://yt3.ggpht.com/ytc/AIdro_k9P7NVj6_OGE5l0PvzONiLNNrSGQxyRf_us06oalk=s48-c-k-c0x00ffffff-no-rj,2022-10-09T21:28:20,"El presidente de México debería de hacer lo mismo, ya estamos hartos, ya agarraron caminito por centroamerica y México, y porque no se van por el mar Caribe en lancha o en barco de todos modos los van a dejar entrar a EE.UU. 🧐🤔",17,false,14,
UgxTjZ8YITJ09gkv0YV4AaABAg,,oMsLffZuMe8,UCQJoK1aVH0Ij_9cGpDj81uQ,@carmenventura4943,https://yt3.ggpht.com/ytc/AIdro_nlgsNs-Bqu5FuBc5BuUTvXlSyM6YYKO2kFqs89W8U=s48-c-k-c0x00ffffff-no-rj,2022-10-20T12:26:54,"Pues en México no encontrarán mejor nivel de vida, eso es lo que queremos todos y deben exigir en su tierra",16,false,0,
Ugz7L8FMgGe9f59-eXh4AaABAg,,oMsLffZuMe8,UCcGLZxuLptWmZ4zr5zdemVQ,@eliojose4496,https://yt3.ggpht.com/lEw4NLtLHx2VL10Qgd6Uc_2kLBhr_1VN5fMOs05X3X2EMprDCOjQ34vRJU_qALBMtB8K3iqLhw=s48-c-k-c0x00ffffff-no-rj,2022-10-09T21:33:57,Venezuela no esta en guerra para q emigren asi,16,false,17,
UgxNIxobqTmdHMzg3Yx4AaABAg,,oMsLffZuMe8,UCmaxHWH3NgDbfWjQucbANYA,@Kayovelast,https://yt3.ggpht.com/84hBzjm7FV6w335txRFLjTr3Nzu2cA6kk9wERomLrftsQgQN_mKdL6CMo3DtnNJ6kEcYrrX0K7I=s48-c-k-c0x00ffffff-no-rj,2022-10-09T21:06:15,Todos juzgan a su condición recuerden que todos somos forasteros en este mundo esas opiniones egoístas sin lógica como si fueran dueño de alguna nacion para decir que no los dejen pasar se nota el humanismo y corazon lleno de bondad .,16,false,9,
UgyWaU8QQkBNwuVbGgF4AaABAg.9h7vlXuYHsA9h9WCG0vqd4,UgyWaU8QQkBNwuVbGgF4AaABAg,oMsLffZuMe8,UCYrm0rFeWbfNYdb6wyPYjwg,@exseminaristacatolicofelip1257,https://yt3.ggpht.com/MEKXmuYz9gGKEttvBGDhrL_4m4OXzBLFzzsARwL403N_HE3DmhDpweppt27Mt-qc9X02ZJPSaA=s48-c-k-c0x00ffffff-no-rj,2022-10-14T04:33:45,nosotros los chapines que estamos aquí en los Estados Unidos.. venimos pagando pasaje y evitando prejuicios.. pero los venezolanos quieren venir gratis.. no señor en éste mundo nada es gratis... que viva México y Guatemala...,16,true,,
UgzfBvl37i6zkqn_gRl4AaABAg,,oMsLffZuMe8,UCdWFg7lyUXwvfmEVu84OsqA,@MariaLopez-go3rp,https://yt3.ggpht.com/ytc/AIdro_lWJpsMnWYYJv5Tj5P28dE9jUUj-WWn1DFtHSFJHATfJl5c=s48-c-k-c0x00ffffff-no-rj,2022-10-09T20:49:53,"GRACIAS GUATEMALA,,ESTADOS UNIDOS,,,,TE DA LAS GRACIAS,,NO LOS DEJES PASAR,,AQUÍ YA NO TENEMOS TRABAJO,,",14,false,4,
Ugx3TBmJW7wz8DgHGwl4AaABAg,,oMsLffZuMe8,UC8oPv4upDB4v5GSuT_KP-DQ,@lephilosopheinconnu3952,https://yt3.ggpht.com/GD6fV_k8mNO4LYpDsqFNnMqECm0Vws7rudFSOpTJ82PHivFW_xkDnpNRDwPkDnTXD3bkV6d3og=s48-c-k-c0x00ffffff-no-rj,2022-10-15T20:25:06,Bien Guatemala,13,false,0,
UgyKlhs-DNi-ciTO5Vh4AaABAg,,oMsLffZuMe8,UCRc6PeEYRy0MqjFGjAIwckQ,@carmenmartinez4377,https://yt3.ggpht.com/ytc/AIdro_kDO4h846_9FpJf9xb-_kKuhW6NEufFz9cQIqIw5TY=s48-c-k-c0x00ffffff-no-rj,2022-10-09T21:17:13,En México tampoco nos encaresen todo día adia,13,false,0,
