id,channelId,title,thumbUrl,description,publishDate,viewCount,comments,likes,dislikes,responseCode
d0Kqo0o39hE,UCuyyURtBKEPKUDUIENVt90Q,Así tratan a los migrantes Venezolanos en Honduras 😭🇭🇳🇻🇪,https://i.ytimg.com/vi/d0Kqo0o39hE/default.jpg,"¿Cómo es para los migrantes venezolanos quienes cruzan Honduras en su travesía a los Estados Unidos? Los maltratan? Los discriminan? O los ayudan? Más de 120,000 migrantes han cruzado Honduras en los últimos meses. Muchos son de Venezuela, un país enfrentando una de los peores crisis económicas en el continente. Para llegar a Honduras, ellos tienen que cruzar la selva Darién, donde muchos han muerto, y pasan por varios países sin comida. <br>Si lees los periódicos, se dan cuenta de las experiencias aterradores de los migrantes cuando cruzan a Honduras: muertos en choques de buses, extorsiones de las policías, y hasta asesinatos por pandilleros. <br>¿Pero detrás de toda la oscuridad, existen personas o instituciones en Honduras quienes extienden sus manos a ayudar? Veremos en el video de hoy.<br>Para apoyar la Iglesia en las Calles de Tegucigalpa: <br>Facebook: https://www.facebook.com/profile.php?id=100081995262292<br>Instagram: https://www.instagram.com/manantial.de_vida/?hl=en<br>El mejor hostal y operador de turismo de La Ceiba: Hostal Guacamayos (https://www.facebook.com/hostalguacamayostourlaceiba)<br>****<br>Dona a mi organización, Students Helping Honduras: http://bit.ly/3rmQZT0<br>Facebook: http://bit.ly/3c2l4B3<br>Twitter: https://bit.ly/3c0ri4m<br>Instagram: https://bit.ly/3c8REkE<br>Construye conmigo una escuela en Honduras durante 8 días: http://bit.ly/2OuToMT<br>Enseña inglés en Honduras: http://bit.ly/3rnxs4Z<br>Dona $4/mes al Hogar de Niños Villa Soleada: https://bit.ly/330E7ey",2022-10-30T11:00:28,1172008,5183,26696,0,200
3GEZK35SSV8,UCUdOoVWuWmgo1wByzcsyKDQ,Venezolanos en Brasil: el éxodo hacia el país que más refugiados reconoce en la región,https://i.ytimg.com/vi/3GEZK35SSV8/default.jpg,"Brasil lidera actualmente la lista de regularización de refugiados venezolanos en América Latina, esto a pesar de que no es el país que más migrantes recibe desde Venezuela; Colombia y Perú encabezan ese ranking, pero hasta la fecha el Gobierno brasileño fue el más dispuesto de la región en conceder el estatus de refugiado a los 46.000 solicitantes. Meses después de que la pandemia cerrara las fronteras, un equipo de France 24 visitó el estado fronterizo de Roraima y algunos de los once albergues en Boa Vista, la capital del Roraima, donde familias enteras de venezolanos reciben abrigo.<br>Suscriba a nuestra cadena en YouTube : <br>http://f24.my/youtubeES<br>En VIVO - Siga FRANCE 24 aquí <br>http://f24.my/YTliveES<br>Nuestro sitio :<br>http://www.france24.com/es/<br>Únase a la comunidad Facebook :<br>https://www.facebook.com/FRANCE24.Espanol/<br>Siganos en Twitter :<br>https://twitter.com/France24_es",2020-11-11T11:48:29,57595,519,1237,0,200
Zxn6d7Om21k,UCLtGUPjKLqa3zgdmhKCZONg,MIGRACIÓN VENEZOLANA 2023: su incesante éxodo al norte del continente,https://i.ytimg.com/vi/Zxn6d7Om21k/default.jpg,"Además de Colombia, #Perú y #Chile, cada vez más migrantes #venezolanos dirigen sus pasos a Norteamérica. ¿Cómo es la situación en la #frontera?<br>Canal oficial del diario El Comercio de Lima, Perú. <br>Suscríbete: http://goo.gl/UWBivf<br>Sitio web: http://elcomercio.pe<br>TAMBIÉN SÍGUENOS EN:<br>Facebook: https://www.facebook.com/elcomercio.pe<br>Twitter: https://twitter.com/elcomercio<br>Instagram: http://instagram.com/elcomercio",2023-04-25T18:09:05,42769,179,288,0,200
pVU0pQO3NAA,UCpSJ5fGhmAME9Kx2D3ZvN3Q,"🔴 Los hijos de la migración, a 6 años del éxodo venezolano en Perú",https://i.ytimg.com/vi/pVU0pQO3NAA/default.jpg,"Estas son algunas historias de nuevos peruanos, de niños y niñas con uno o dos de sus padres que llegaron desde Venezuela. Ellos son los hijos de la migración.<br>🔴 ESTE REPORTAJE GANÓ EL PREMIO NACIONAL DE PERIODISMO 2023, EN LA CATEGORÍA MIGRACIÓN.<br>#LatinaNoticias tiene lo que debes saber del Perú, Latinoamérica y el mundo las 24 horas del día con nuestra señal en vivo (streaming). Lo más importante e interesante está aquí, no busques en otro sitio. Contenido verificado, interesante e importante. Más información, entretenimiento y variedades en: https://www.latinanoticias.pe<br>Suscríbete aquí: https://www.youtube.com/@latinanoticias?sub_confirmation=1<br>Síguenos en:<br>🟢WhatsApp: https://whatsapp.com/channel/0029Va56K3P6rsQsoqCLgw0w<br>🟡TikTok: https://www.tiktok.com/@latinanoticias<br>🟠Instagram: https://www.instagram.com/latinanoticias.pe<br>⚫️Threads:  https://www.threads.net/@latinanoticias.pe<br>🔵Facebook: https://www.facebook.com/LatinaNoticias.pe<br>🔴Twitter: https://twitter.com/Latina_Noticias<br>🟣Web: https://www.latinanoticias.pe<br>Latina Televisión (también conocida como Latina TV o Latina) es un canal peruano de señal abierta que busca llevar a la audiencia nacional e internacional contenidos de amplia variedad a través de formatos que entretengan y sean de provecho para todos los miembros de la familia. Emitimos señal desde 1983.<br>NOTICIAS PERÚ, LATINA EN VIVO, NOTICIAS PERÚ, RUTA VECINAL, PUNTO FINAL, REPORTAJES PUNTO FINAL, TELEVISIÓN PERUANA, PERÚ, PERUANOS EN EL EXTRANJERO, LIMA Y CALLAO, NOTICIAS PERUANAS, NOTICIAS EN VIVO, NOTICIAS PERUANAS EN VIVO, NOTICIAS DEL PERÚ Y EL MUNDO, SIN MEDIAS TINTAS, LATINA NOTICIAS, LATINA NOTICIAS MATINAL, LATINA NOTICIAS MEDIODÍA, LATINA NOTICIAS CENTRAL, BUENAS NUEVAS MALAS NUEVAS, STREAMING PERÚ, NOTICIAS STREAMING, PODCAST PERÚ, PODCAST PERUANOS, FRECUENCIA LATINA. PERUANOS EN VENEZUELA, MIGRAR A PERÚ, VIVIR EN PERÚ.",2023-02-27T18:23:43,200433,1731,3634,0,200
oMsLffZuMe8,UCRwA1NUcUnwsly35ikGhp0A,Guatemala expulsa a casi 100 migrantes venezolanos | Noticias Telemundo,https://i.ytimg.com/vi/oMsLffZuMe8/default.jpg,"Video oficial de Noticias Telemundo. Las autoridades del país argumentaron que ninguno cumplía los requisitos para acceder a su territorio. ""Queremos seguir para cumplir nuestra meta"", dijo uno de los afectados. En lo que va de año, más de 14,000 personas han sido devueltas al país vecino.<br>Descarga nuestra App:<br>https://telemundo.app.link/Mtq7sTKAUtb<br>SUSCRÍBETE: https://bit.ly/TLMDNoticiasYT<br>Noticias <br>Noticias Telemundo es un proveedor líder de noticias para los hispanos de EE.UU. Sus galardonados espacios de noticias, transmitidos desde Telemundo Center, incluyen los noticieros diarios “Noticias Telemundo” con Julio Vaqueiro; “Noticias Telemundo Fin de Semana”, con Vanessa Hauc y “Noticias Telemundo Mediodía”, con Felicidad Aveleyra. El “Equipo Digital de Noticias Telemundo” ofrece contenido ininterrumpido para los hispanos de EE.UU. a través de sus crecientes plataformas móviles y en línea. “Noticias Telemundo Investiga” produce reportes investigativos y documentales en profundidad. “Noticias Telemundo Planeta Tierra” ofrece información relacionada con el medio ambiente y el cambio climático. Adicionalmente, “Noticias Telemundo” produce galardonados especiales de noticias, documentales y eventos noticiosos como debates políticos, asambleas ciudadanas y foros.<br>Telemundo App<br>Telemundo - Capítulos Completos es tu destino digital para disfrutar la programación que te gusta! Mira episodios completos de tus shows favoritos de Telemundo, televisión en vivo y contenido exclusivo al descargar la app Telemundo - Capítulos Completos y entrar con tu cuenta de proveedor de TV.<br>Telemundo<br>Es una empresa de medios de primera categoría, líder en la industria en la producción y distribución de contenido en español de alta calidad a través de múltiples plataformas para hispanos en los Estados Unidos y alrededor del mundo. La cadena ofrece producciones dramáticas originales de Telemundo Studios – el productor #1 de contenido en español de horario estelar – así como contenido alternativo, películas de cine, especiales, noticias y eventos deportivos de primer nivel, alcanzando el 94% de los televidentes hispanos en los Estados Unidos en 210 mercados a través de 17 estaciones propias y 57 afiliadas de TV abierta. Telemundo también es propietaria de WKAQ, una estación de televisión local que sirve Puerto Rico. Telemundo es parte de NBCUniversal Telemundo Enterprises, una división de NBCUniversal, una de las compañías líderes en el mundo de los medios y entretenimiento. NBCUniversal es una subsidiaria de Comcast Corporation.<br>SÍGUENOS EN TWITTER: http://bit.ly/1OLjUGl<br>DANOS ME GUSTA EN FACEBOOK: http://on.fb.me/1VXiWwo<br>#NoticiasTelemundo #Guatemala #Migrantes<br>Guatemala expulsa a casi 100 migrantes venezolanos | Noticias Telemundo<br>https://www.youtube.com/noticias<br>Noticias, Telemundo, Noticias Telemundo de hoy, Telemundo Noticias, Noticias, Telemundo, Telemundo Noticias de hoy, Noticias Telemundo de hoy en vivo, Ultima hora, Noticias de hoy, Noticias de Ultima hora",2022-10-09T20:18:18,119486,524,912,0,200
NHU-g6cC-2o,UCT4Jg8h03dD0iN3Pb5L0PMA,A qué se debe la hostilidad a los migrantes en Chile y Perú | Contexto DW,https://i.ytimg.com/vi/NHU-g6cC-2o/default.jpg,"Decenas de migrantes, sobre todo de Venezuela, están varados desde hace días en condiciones muy precarias en la frontera peruano-chilena. Chile y Perú intentan pasar el problema al otro, y Venezuela hace poco por ayudar a sus connacionales.<br>¿A qué se debe la hostilidad a los migrantes?  ¿Y cómo se puede solucionar esta nueva crisis migratoria?  Lo vemos en Contexto DW.",2023-05-05T17:45:08,260958,2925,4251,0,200
Yi6OLfKDP9U,UCJ46VgZgCMLFUvOT671AOJw,"“Me arrepiento de haber venido a EEUU”, dice inmigrante venezolana",https://i.ytimg.com/vi/Yi6OLfKDP9U/default.jpg,"Tras caminar medio continente durante cuatro meses, una venezolana embarazada dice arrepentirse de migrar a Estados Unidos. Divalizeth Cash, periodista de la Voz de América, le siguió la pista hasta Delaware y con esta historia, el primer capítulo de la serie Utopía Migratoria. <br>•••••••••••••••••••••••••••••<br>Visita nuestra página web: https://www.vozdeamerica.com<br>Ve más videos de Voz de América → http://bit.ly/394R2em<br>¡Conéctate con nosotros!<br>Suscríbete a nuestro canal: http://bit.ly/2XpJNZj <br>Síguenos en redes sociales: <br>Facebook: https://www.facebook.com/VozdeAmerica/<br>Twitter: https://twitter.com/VozdeAmerica<br>Instagram: https://www.instagram.com/vozdeamerica/<br>Todo sobre Venezuela: <br>- http://bit.ly/2JMjxoF<br>- http://bit.ly/3bbmESs<br>La Voz de América (VOA) es la mayor organización internacional de noticias multimedia de Estados Unidos, que ofrece contenido en más de 45 idiomas para audiencias, sin acceso o con acceso limitado a una prensa libre.",2022-08-02T17:45:01,1465366,7253,9898,0,200
